Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;OSASCO;AUTO POSTO ROMA II LTDA; 67.507.673/0001-03;AVENIDA JOAO ANDRADE;390/420;0;JARDIM VELOSO;06132-000;GASOLINA;07/01/2009;2,379;2,05;R$ / litro;BRANCA
SE;SP;OSASCO;AUTO POSTO ROMA II LTDA; 67.507.673/0001-03;AVENIDA JOAO ANDRADE;390/420;0;JARDIM VELOSO;06132-000;ETANOL;07/01/2009;1,299;0,9795;R$ / litro;BRANCA
SE;SP;OSASCO;AUTO POSTO ROMA II LTDA; 67.507.673/0001-03;AVENIDA JOAO ANDRADE;390/420;0;JARDIM VELOSO;06132-000;DIESEL;07/01/2009;2,099;1,88;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;GASOLINA;06/01/2009;2,27;2,04;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;ETANOL;06/01/2009;1,18;0,9899;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;DIESEL;06/01/2009;2,04;1,845;R$ / litro;BRANCA
NE;BA;ITABUNA;LOPES LEMOS COMERCIO DE COMBUSTIVEIS LTDA; 00.231.792/0001-05;RODOVIA BR 101;SN;KM    503 5;MANOEL LEAO;45601-402;GASOLINA;07/01/2009;2,5;;R$ / litro;BRANCA
NE;BA;ITABUNA;LOPES LEMOS COMERCIO DE COMBUSTIVEIS LTDA; 00.231.792/0001-05;RODOVIA BR 101;SN;KM    503 5;MANOEL LEAO;45601-402;ETANOL;07/01/2009;1,65;;R$ / litro;BRANCA
NE;BA;ITABUNA;LOPES LEMOS COMERCIO DE COMBUSTIVEIS LTDA; 00.231.792/0001-05;RODOVIA BR 101;SN;KM    503 5;MANOEL LEAO;45601-402;DIESEL;07/01/2009;2,03;;R$ / litro;BRANCA
SE;MG;SAO SEBASTIAO DO PARAISO;REDE DE POSTOS ZERO IV LTDA.; 00.883.226/0001-88;RODOVIA BR 491 KM 03;3101;;ITAMARATI;37950-000;GASOLINA;06/01/2009;2,57;;R$ / litro;BRANCA
SE;MG;SAO SEBASTIAO DO PARAISO;REDE DE POSTOS ZERO IV LTDA.; 00.883.226/0001-88;RODOVIA BR 491 KM 03;3101;;ITAMARATI;37950-000;ETANOL;06/01/2009;1,59;;R$ / litro;BRANCA
SE;MG;SAO SEBASTIAO DO PARAISO;REDE DE POSTOS ZERO IV LTDA.; 00.883.226/0001-88;RODOVIA BR 491 KM 03;3101;;ITAMARATI;37950-000;DIESEL;06/01/2009;2,07;;R$ / litro;BRANCA
S;PR;PATO BRANCO;SANTOS & MERLO LTDA.; 79.854.667/0001-01;RUA TOCANTINS;2535;;CENTRO;85501-010;GASOLINA;07/01/2009;2,59;2,1;R$ / litro;MAZP DISTRIBUIDORA
S;PR;PATO BRANCO;SANTOS & MERLO LTDA.; 79.854.667/0001-01;RUA TOCANTINS;2535;;CENTRO;85501-010;ETANOL;07/01/2009;1,57;1,19;R$ / litro;MAZP DISTRIBUIDORA
S;PR;PATO BRANCO;SANTOS & MERLO LTDA.; 79.854.667/0001-01;RUA TOCANTINS;2535;;CENTRO;85501-010;DIESEL;07/01/2009;2,12;;R$ / litro;MAZP DISTRIBUIDORA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0006-56;AVENIDA 25 DE AGOSTO;1350;;25 DE AGOSTO;69980-000;GASOLINA;06/01/2009;3,33;2,68;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
